mask,vendor,freq,n_digits,status,beaten_by
###,V02,249,3,ACCEPTED,
AA,V02,168,0,ACCEPTED,
AA,V03,141,0,ACCEPTED,
AAA,V02,127,0,ACCEPTED,
AA,V01,104,0,ACCEPTED,
##,V04,99,2,ACCEPTED,
###,V01,89,3,ACCEPTED,
AA,V04,73,0,ACCEPTED,
"#""",V01,60,1,ACCEPTED,
##,V01,58,2,ACCEPTED,
##,V02,49,2,ACCEPTED,
"#""",V02,49,1,ACCEPTED,
AAAAAA-AA###,V01,46,3,REJECTED,###A##-AAAA#
AAA,V01,44,0,ACCEPTED,
##-AA-####,V04,44,6,ACCEPTED,
###,V04,43,3,ACCEPTED,
AAA,V03,41,0,ACCEPTED,
A#,V02,37,1,ACCEPTED,
####,V02,31,4,ACCEPTED,
"#""-AA-AA###-###",V01,30,7,ACCEPTED,
######,V03,28,6,ACCEPTED,
AAA,V04,28,0,ACCEPTED,
A#,V01,27,1,ACCEPTED,
##.##-AAAAAAA,V04,27,4,ACCEPTED,
AAAA,V01,26,0,ACCEPTED,
##,V03,26,2,ACCEPTED,
AAAA,V02,19,0,ACCEPTED,
AA##,V04,19,2,ACCEPTED,
##.##,V04,19,4,ACCEPTED,
###A###,V02,18,6,REJECTED,#######
"#""-AA###-AA-###-###",V02,16,10,ACCEPTED,
AAAA-#,V01,15,1,ACCEPTED,
A##,V01,15,2,ACCEPTED,
AAAA,V03,15,0,ACCEPTED,
#####,V03,15,5,ACCEPTED,
#######,V02,14,7,ACCEPTED,
###,V03,14,3,ACCEPTED,
A#,V04,14,1,ACCEPTED,
"##""-AA-AA###-###",V01,13,8,ACCEPTED,
#A,V01,13,1,ACCEPTED,
AA###,V02,13,3,REJECTED,A####
#A,V02,13,1,ACCEPTED,
######,V02,13,6,ACCEPTED,
-#,V04,13,1,ACCEPTED,
#-###,V04,13,4,ACCEPTED,
AA#AAA-AA###,V01,12,4,REJECTED,###A##-AAAA#
###A#,V01,11,4,REJECTED,##A##
AA#,V01,10,1,ACCEPTED,
AAAA,V04,10,0,ACCEPTED,
A###,V04,10,3,ACCEPTED,
AA-AA###-###,V01,9,6,ACCEPTED,
###-AA###,V02,9,6,ACCEPTED,
"##""",V01,8,2,ACCEPTED,
-AA###-AA-###-###,V02,8,9,ACCEPTED,
######-AAAAAA,V02,8,6,ACCEPTED,
A#,V03,8,1,ACCEPTED,
"##""-AA-AA-##-###-A###",V03,8,10,ACCEPTED,
##A##,V04,8,4,REJECTED,#####
##.##-AAAAAA,V04,8,4,ACCEPTED,
AA#,V02,7,1,ACCEPTED,
A#AAA,V03,7,1,REJECTED,##A#A
"#""",V03,7,1,ACCEPTED,
####,V01,6,4,ACCEPTED,
###A,V01,6,3,ACCEPTED,
AAA-###,V01,6,3,ACCEPTED,
##A,V02,6,2,ACCEPTED,
###A,V02,6,3,ACCEPTED,
AAAAA###,V02,6,3,REJECTED,AAAA####
#A,V03,6,1,ACCEPTED,
AAAA#-#,V03,6,2,ACCEPTED,
AA-#####A,V03,6,5,REJECTED,##-AA####
#A,V04,6,1,ACCEPTED,
A#AA,V04,6,1,ACCEPTED,
#AA,V01,5,1,ACCEPTED,
AAAAAAA-AAA##,V01,5,2,REJECTED,AAAAAAA-AA###
##A##,V01,5,4,REJECTED,#####
##A,V01,5,2,ACCEPTED,
###A##-AAAA#,V01,5,6,REJECTED,######-AAA##
#-,V02,5,1,ACCEPTED,
#AA,V02,5,1,ACCEPTED,
"##""",V03,5,2,ACCEPTED,
####-##,V03,5,6,ACCEPTED,
AA-AA-####A,V03,5,4,ACCEPTED,
#-,V04,5,1,ACCEPTED,
A#.##-AAAAAAA,V04,5,3,REJECTED,##.##-AAAAAAA
"#""-AA-AA###-##",V01,4,6,ACCEPTED,
A.#,V01,4,1,ACCEPTED,
#A#,V01,4,2,ACCEPTED,
AA###,V01,4,3,REJECTED,A####
"#""-AA-AA###-#",V01,4,5,ACCEPTED,
AAAA-#,V02,4,1,ACCEPTED,
#AA#,V02,4,2,ACCEPTED,
"#""-AA#A#-AA-###-###",V02,4,9,REJECTED,"#""-AA###-AA-###-###"
#######,V03,4,7,ACCEPTED,
A##,V03,4,2,ACCEPTED,
AAAAA###,V03,4,3,REJECTED,AAAA####
AA###AA###.######,V03,4,12,ACCEPTED,
A###-#####.###,V04,4,11,ACCEPTED,
AA#,V04,4,1,ACCEPTED,
AAA-#,V04,4,1,REJECTED,###-A
#-#,V04,4,2,ACCEPTED,
#-###-AA-####,V04,4,8,ACCEPTED,
#-AA-####,V04,4,5,ACCEPTED,
##.##-AAAA,V04,4,4,ACCEPTED,
AA-##A####-AA#AA-#,V04,4,8,ACCEPTED,
#####,V01,3,5,ACCEPTED,
AA-###A,V01,3,3,REJECTED,AA-####
AAAAAAAAA-##,V01,3,2,REJECTED,AAAAAAAA#-##
AAA##AAAA-##,V01,3,4,REJECTED,AA###AAA#-##
#AAA##,V01,3,3,REJECTED,#A####
###A##,V01,3,5,REJECTED,######
A#A,V01,3,1,ACCEPTED,
AAAAAA-AAA##,V01,3,2,REJECTED,###A##-AAAA#
AAA#AAAAA-#,V01,3,2,REJECTED,AA#A#AAAA-#
###A##-AAA##,V01,3,7,REJECTED,######-AAA##
##A-AA-AA###-###,V02,3,8,REJECTED,###-AA-AA###-###
A##,V02,3,2,ACCEPTED,
####A###,V02,3,7,ACCEPTED,
###-AA#A#,V02,3,5,REJECTED,###-AA###
##AA##A,V02,3,4,REJECTED,####A##
#A-,V02,3,1,ACCEPTED,
A#A,V02,3,1,ACCEPTED,
#A#,V02,3,2,ACCEPTED,
#####,V02,3,5,ACCEPTED,
-AA#AA-AA-###-###,V02,3,7,REJECTED,-AA#A#-AA-###-###
##AA,V02,3,2,ACCEPTED,
AA#AAA,V02,3,1,REJECTED,#AAAA#
AA###AAAA-#,V02,3,4,REJECTED,AA###AAA#-#
###AAA,V02,3,3,REJECTED,#A####
###-AA-###,V02,3,6,ACCEPTED,
AAAAAAAAA-##,V02,3,2,REJECTED,AAAAAAAA#-##
"#""-AA#AA-AA-###-###",V02,3,8,REJECTED,"#""-AA#A#-AA-###-###"
-#,V03,3,1,ACCEPTED,
"#""-AA-AA-##-###-A###",V03,3,9,ACCEPTED,
AA-AA-###A,V03,3,3,REJECTED,##-AA-#A##
####,V04,3,4,ACCEPTED,
######,V04,3,6,ACCEPTED,
##-AA-###,V04,3,5,ACCEPTED,
AA#A,V04,3,1,ACCEPTED,
#-###-AAA-####,V04,3,8,ACCEPTED,
##-###-AA###-A#AAA-A,V04,3,9,ACCEPTED,
AA-####,V04,3,4,ACCEPTED,
####-#####,V04,3,9,ACCEPTED,
A#-AA-A###-##,V04,3,6,REJECTED,##-AA-A###-##
##.##-AAAAA,V04,3,4,ACCEPTED,
"#""-AA-####-A##",V01,2,7,ACCEPTED,
AAAAAA-AA#A#,V01,2,2,REJECTED,###A##-AAAA#
"##""-AA-AA###-##",V01,2,7,ACCEPTED,
##A-AA-AA###-###,V01,2,8,REJECTED,###-AA-AA###-###
A##.A,V01,2,2,ACCEPTED,
AA-AA-AA###-###,V01,2,6,REJECTED,#A-AA-AA###-###
##AA##,V01,2,4,REJECTED,#A####
-AA-AA###-###,V01,2,6,ACCEPTED,
AA###AA##-##,V01,2,7,ACCEPTED,
###-AA-AA###-###,V01,2,9,ACCEPTED,
AAA##AA##-##,V01,2,6,REJECTED,AA###AA##-##
A##A,V01,2,2,ACCEPTED,
#-#,V01,2,2,ACCEPTED,
AAAAAA-AA##A,V01,2,2,REJECTED,###A##-AAAA#
##-AA####,V01,2,6,REJECTED,##-######
AAAA#AAAAA-##,V01,2,3,ACCEPTED,
"#""-AA-AA###--",V01,2,4,ACCEPTED,
"#""-AA-AA###-A",V01,2,4,REJECTED,"#""-AA-AA###-#"
AAAAAAAA#-#,V02,2,2,REJECTED,AA#A#AAAA-#
##AA-AA-AA###-###,V02,2,8,REJECTED,###A-AA-AA###-###
AAAAAA-AA##A,V02,2,2,REJECTED,###A##-AAAA#
AA###AAA#-#,V02,2,5,ACCEPTED,
#-A,V02,2,1,ACCEPTED,
A###,V02,2,3,ACCEPTED,
##-AA###,V02,2,5,ACCEPTED,
"#""-AA###-AA-###-",V02,2,7,ACCEPTED,
###-AAA##,V02,2,5,REJECTED,###-AA###
AAA###-AA-###-###,V02,2,9,ACCEPTED,
"#""-AAAAA-AA-###-###",V02,2,7,REJECTED,"#""-AA#AA-AA-###-###"
AAAAAAAA#-##,V02,2,3,REJECTED,AA###AAA#-##
####,V03,2,4,ACCEPTED,
AA-AAAAA-######,V03,2,6,ACCEPTED,
#A#,V03,2,2,ACCEPTED,
#####A,V03,2,5,REJECTED,######
A#####,V03,2,5,REJECTED,#####A
AA-A-####,V03,2,4,ACCEPTED,
-#A,V03,2,1,ACCEPTED,
"##""-AA-#-#####-A###",V04,2,11,ACCEPTED,
"#""-AA-#-#####-A###",V04,2,10,ACCEPTED,
AA-AA-###,V04,2,3,REJECTED,##-AA-A##
A#A#,V04,2,2,ACCEPTED,
A-###-A-###,V04,2,6,ACCEPTED,
A-##-###-AA###-AAAAA-A,V04,2,8,REJECTED,#-##-###-A####-A#AAA-A
AA##A,V04,2,2,REJECTED,##A#A
AAAA#.#,V04,2,2,ACCEPTED,
###A,V04,2,3,ACCEPTED,
AAAAAAAAA-######,V04,2,6,ACCEPTED,
####-##,V04,2,6,ACCEPTED,
#####-###,V04,2,8,ACCEPTED,
####-###,V04,2,7,ACCEPTED,
#-##A####-AA#AA-#,V04,2,9,ACCEPTED,
##-AA-A###-##,V04,2,7,ACCEPTED,
#.##-AAAAAAA,V04,2,3,ACCEPTED,
A#-AA-A#A#-##,V04,2,5,REJECTED,A#-AA-A###-##
##-AA-AAA,V04,2,2,REJECTED,##-AA-A##
A-##A####-AA#AA-#,V04,2,8,REJECTED,#-##A####-AA#AA-#
##.##-AA-AAAAAA,V04,2,4,REJECTED,##.##-AA-#AAAA#
##.##-AA-AAAA,V04,2,4,REJECTED,##.##-AA-#AAA
##A####-AA#AA-#,V04,2,8,ACCEPTED,
"#""-AA-####-A#",V01,1,6,ACCEPTED,
AAA##AAA,V01,1,2,REJECTED,AAAAA###
####-AA-AA###-###,V01,1,10,ACCEPTED,
-A-##,V01,1,2,ACCEPTED,
####A#,V01,1,5,REJECTED,A#####
-A-###A,V01,1,3,ACCEPTED,
AAAA.#,V01,1,1,ACCEPTED,
"#""-AA-AA###-##-",V01,1,6,ACCEPTED,
"#""-AA-AA###-##A",V01,1,6,REJECTED,"#""-AA-AA###-###"
###A#-AA###,V01,1,7,ACCEPTED,
##.#AAAAAAAAAA,V01,1,3,ACCEPTED,
AAA#AAAAA-###,V01,1,4,REJECTED,AAA##AAA#-###
AAA##AAA#-###,V01,1,6,ACCEPTED,
AAA#AAAAA-##,V01,1,3,REJECTED,AAAAAAAA#-##
AAAA#-,V01,1,1,ACCEPTED,
AA###AA###,V01,1,6,REJECTED,######A###
AAA##AA#A-##,V01,1,5,REJECTED,AA###AAA#-##
A#A-A,V01,1,1,REJECTED,AAA-#
AAAAAAA-AA###,V01,1,3,ACCEPTED,
AAA-AA###-###AA#AA,V01,1,7,ACCEPTED,
AAAAAAAA#-#,V01,1,2,REJECTED,AA#A#AAAA-#
##-AA-AA###-###,V01,1,8,ACCEPTED,
AA#AAA-AA##,V01,1,3,ACCEPTED,
#A-AA-AA###-###,V01,1,7,REJECTED,##-AA-AA###-###
A##-,V01,1,2,ACCEPTED,
##A#,V01,1,3,ACCEPTED,
##-######,V01,1,8,ACCEPTED,
A##-AA-###A,V01,1,5,ACCEPTED,
##-AA,V01,1,2,ACCEPTED,
"##""-AA-AA#A#-###",V01,1,7,REJECTED,"##""-AA-AA###-###"
AA#AAA-AA##A,V01,1,3,REJECTED,###A##-AAAA#
A#A#,V01,1,2,ACCEPTED,
##-#-###,V01,1,6,ACCEPTED,
##--#-#-#,V01,1,5,ACCEPTED,
#AA-AA-AA###-##,V01,1,6,ACCEPTED,
AAAA##AAAA-,V01,1,2,ACCEPTED,
"##""-AA-AA###-#A",V01,1,6,REJECTED,"##""-AA-AA###-##"
A##-AA-###-#,V01,1,6,ACCEPTED,
"#""-AA-AA#A#-###",V01,1,6,REJECTED,"#""-AA-AA###-##A"
###A-AA-AA###-###,V01,1,9,REJECTED,####-AA-AA###-###
AAAAAA-AA##,V01,1,2,REJECTED,AA#AAA-AA##
AA#####,V01,1,5,REJECTED,####A##
#AA-AA-AA###-###,V01,1,7,REJECTED,###-AA-AA###-###
AA.##,V01,1,2,REJECTED,##.##
A#A-AA-A##-##,V01,1,5,ACCEPTED,
-AA-AA#A#-###,V01,1,5,REJECTED,-AA-AA###-###
AA-AA#A#-###,V01,1,5,REJECTED,AA-AA###-###
"#""-A-AA###-###",V01,1,7,ACCEPTED,
######-AAA##,V01,1,8,ACCEPTED,
#####A##-AAA##,V01,1,9,ACCEPTED,
A##-AA-###,V01,1,5,REJECTED,###-AA-###
##-AA-###-A,V01,1,5,ACCEPTED,
AA.#,V01,1,1,ACCEPTED,
AA-#,V01,1,1,ACCEPTED,
A.#A,V01,1,1,ACCEPTED,
A.###,V01,1,3,ACCEPTED,
###A-AA-AA###-###,V02,1,9,REJECTED,####-AA-AA###-###
A#A-AA-AA###-###,V02,1,7,REJECTED,#AA-AA-AA###-###
AAAA#AAAA-#,V02,1,2,REJECTED,AA#A#AAAA-#
AAA-AA.-AA####-###,V02,1,7,ACCEPTED,
AA###A,V02,1,3,REJECTED,#A####
#-AA-AA###-###,V02,1,7,ACCEPTED,
"###-#A-AA###-###""",V02,1,10,ACCEPTED,
AAA-AA-AA###-###,V02,1,6,REJECTED,A#A-AA-AA###-###
AA###AAA#-##,V02,1,6,REJECTED,AAA##AA##-##
-#,V02,1,1,ACCEPTED,
###AAAAAAA,V02,1,3,REJECTED,######A###
###A-AA-AA###-#,V02,1,7,ACCEPTED,
#A#-,V02,1,2,ACCEPTED,
###A###..#,V02,1,7,ACCEPTED,
AAAA####,V02,1,4,REJECTED,####A###
A#AA#-AAA-A-####-,V02,1,6,ACCEPTED,
AAAA#.##,V02,1,3,ACCEPTED,
AAA#A,V02,1,1,REJECTED,##A#A
AAAA#-#,V02,1,2,ACCEPTED,
AAAA-##,V02,1,2,REJECTED,####-##
##-A,V02,1,2,ACCEPTED,
AAAA-#.##,V02,1,3,ACCEPTED,
AA#A,V02,1,1,ACCEPTED,
###-AAAA,V02,1,3,ACCEPTED,
####AA###A###,V02,1,10,REJECTED,#####A###A###
"#""-AAAA#-AA-###",V02,1,5,REJECTED,"#""-AA###-AA-###"
A####-AAA-A-####,V02,1,8,ACCEPTED,
##A-AA###-AA-###-###,V02,1,11,ACCEPTED,
#####A###A###,V02,1,11,ACCEPTED,
###.,V02,1,3,ACCEPTED,
##A#,V02,1,3,ACCEPTED,
#AA##,V02,1,3,REJECTED,A####
###AAAAA,V02,1,3,REJECTED,AAAAA###
###A-,V02,1,3,ACCEPTED,
"#""-AA###-AA-###""",V02,1,7,ACCEPTED,
AAAAA-AAA-A-####,V02,1,4,REJECTED,A#AAA-AAA-A-####
A#AAA-AAA-A-####,V02,1,5,REJECTED,A####-AAA-A-####
A#A###AAA#-#,V02,1,6,ACCEPTED,
"#""-AA###-AA-###-##",V02,1,9,ACCEPTED,
"##""",V02,1,2,ACCEPTED,
A####A,V02,1,4,REJECTED,#A####
"#""-AA###-AA-##-###",V02,1,9,ACCEPTED,
"###""",V02,1,3,ACCEPTED,
AAAAAA####AA,V02,1,4,ACCEPTED,
###AA,V02,1,3,REJECTED,A####
A###AAAAAAA,V02,1,3,ACCEPTED,
#AAA,V02,1,1,ACCEPTED,
AA#A#AAAA-#,V02,1,3,REJECTED,AA###AAAA-#
####AA,V02,1,4,REJECTED,#A####
"##""-AA###-AA-###-###",V02,1,11,ACCEPTED,
###.AAAAAA,V02,1,3,ACCEPTED,
-A#,V02,1,1,ACCEPTED,
###-A,V02,1,3,ACCEPTED,
A#--A##,V02,1,3,ACCEPTED,
AA###A##.-#,V02,1,6,ACCEPTED,
"#""-AAAAA-AA-###--",V02,1,4,ACCEPTED,
AA#A#,V02,1,2,REJECTED,##A#A
###-AA-###-###,V02,1,9,ACCEPTED,
AA###A##.-..#A,V02,1,6,ACCEPTED,
AAAAA-AA-###-###,V02,1,6,ACCEPTED,
#.#,V02,1,2,ACCEPTED,
-AA#A#-AA-###-###,V02,1,8,REJECTED,-AA###-AA-###-###
AA#AA,V02,1,1,REJECTED,##A#A
##AAAA#,V02,1,3,REJECTED,####A##
#-#,V02,1,2,ACCEPTED,
#######-AAAAAA,V02,1,7,ACCEPTED,
####-A#A-###-###,V02,1,11,ACCEPTED,
###-AA-###-,V02,1,6,ACCEPTED,
AA###A##.-A#,V02,1,6,ACCEPTED,
###-AA-#A,V02,1,4,ACCEPTED,
###-AA-A#AAAA,V02,1,4,ACCEPTED,
"#""-AA###-AA-###",V02,1,7,ACCEPTED,
A#.#,V03,1,2,ACCEPTED,
######A,V03,1,6,REJECTED,#######
#.#AAAAA-AAA,V03,1,2,ACCEPTED,
A###A,V03,1,3,REJECTED,A####
"#""-AA-AAAAA-######",V03,1,7,ACCEPTED,
A-#,V03,1,1,ACCEPTED,
##A,V03,1,2,ACCEPTED,
A####,V03,1,4,REJECTED,##A##
A######,V03,1,6,REJECTED,######A
"##""-A#-AAAAAA-######",V03,1,9,ACCEPTED,
AA-AA-####-A,V03,1,4,ACCEPTED,
####AA#########,V03,1,13,ACCEPTED,
####AA###.######,V03,1,13,ACCEPTED,
AA-AA-##-###-A###,V03,1,8,ACCEPTED,
-##-###-A###,V03,1,8,ACCEPTED,
A-#####A,V03,1,5,ACCEPTED,
-#####A,V03,1,5,ACCEPTED,
AAA-##,V03,1,2,ACCEPTED,
AA-#####A-AA,V03,1,5,ACCEPTED,
#AAAAA,V03,1,1,REJECTED,#AAAA#
A-AA-####,V03,1,4,REJECTED,#-AA-####
###AA###.######,V03,1,12,ACCEPTED,
AA-AA-###AA,V03,1,3,REJECTED,AA-AA-####A
#A-#AA-###,V03,1,5,ACCEPTED,
A#.,V03,1,1,ACCEPTED,
A-AA-###,V04,1,3,ACCEPTED,
#AA,V04,1,1,ACCEPTED,
AAAAAA#-AA-###,V04,1,4,ACCEPTED,
AAAA-#,V04,1,1,ACCEPTED,
A-###-A-###-AA,V04,1,6,ACCEPTED,
#A####,V04,1,5,REJECTED,A#####
A-##-###-AA###-A#AAA-A,V04,1,9,REJECTED,#-##-###-A####-A#AAA-A
A###-#####.####,V04,1,12,ACCEPTED,
#-##-###-AA###-A#AAA-AAAA-#,V04,1,11,ACCEPTED,
#-##-###-AA###-A#AAA-A,V04,1,10,REJECTED,#-##-###-A####-A#AAA-A
A-##-###--AA###-A#,V04,1,9,ACCEPTED,
A-##-###-AA###-A#AAA,V04,1,9,ACCEPTED,
####A##,V04,1,6,REJECTED,A######
AAAA#A,V04,1,1,REJECTED,#AAAA#
#-#-##,V04,1,4,ACCEPTED,
##A#,V04,1,3,ACCEPTED,
##AA##,V04,1,4,REJECTED,#A####
###A###,V04,1,6,REJECTED,#######
#-###AAA-####,V04,1,8,ACCEPTED,
###A###AAA-AAA,V04,1,6,ACCEPTED,
AAA#-###-###-AAAA,V04,1,7,ACCEPTED,
A-###-A-AA#-A,V04,1,4,ACCEPTED,
###-#####.###,V04,1,11,ACCEPTED,
A-##-###-AA###-A#AA#-A,V04,1,10,REJECTED,#-##-###-A####-A#AAA-A
#-###-AA###-AAAAAA,V04,1,7,ACCEPTED,
A-##-###-AA#A#-AAAAAA,V04,1,7,ACCEPTED,
AAAAA####.#AAA-#,V04,1,6,ACCEPTED,
##A#A,V04,1,3,REJECTED,A####
###AA,V04,1,3,REJECTED,A####
##AA-####A,V04,1,6,REJECTED,####-#####
##A-##A.A-AAA-A,V04,1,4,ACCEPTED,
A-###-AAA-####,V04,1,7,REJECTED,#-###-AAA-####
#-##-###-A####-A#AAA-A,V04,1,11,ACCEPTED,
#-###-AAA-####/,V04,1,8,ACCEPTED,
A-##-###-AA#A#-A#AAA-A,V04,1,8,REJECTED,#-##-###-A####-A#AAA-A
#-###-AA-####-A,V04,1,8,ACCEPTED,
A-##-#########A#AAA-A,V04,1,12,ACCEPTED,
###A##,V04,1,5,REJECTED,######
A#A,V04,1,1,ACCEPTED,
######A###,V04,1,9,ACCEPTED,
#A#,V04,1,2,ACCEPTED,
A-###-###-AA###-A#,V04,1,10,ACCEPTED,
#-##-###-AA###-A#AA,V04,1,10,ACCEPTED,
####-AA#AA-####,V04,1,9,ACCEPTED,
##-,V04,1,2,ACCEPTED,
AA####-A#AA-####,V04,1,9,ACCEPTED,
AA####-AA#A--#####,V04,1,10,ACCEPTED,
####-AAA-####,V04,1,8,ACCEPTED,
###-AA-####-###-AA#AAAA,V04,1,11,ACCEPTED,
A-A#AAAAAA#A,V04,1,2,ACCEPTED,
#####-####,V04,1,9,ACCEPTED,
AAA###-##,V04,1,5,ACCEPTED,
-####-###-AAA#A#-A,V04,1,9,ACCEPTED,
AA-A#AAAAA#-,V04,1,2,ACCEPTED,
AAAA###-,V04,1,3,ACCEPTED,
##A,V04,1,2,ACCEPTED,
A#.##-AAAAA,V04,1,3,REJECTED,##.##-AAAAA
A#.AA-AA-##AA###-AA#,V04,1,7,ACCEPTED,
#.##-AA-##AAA##-AA#A,V04,1,8,REJECTED,#.##-AA-##A####-AAAA
##.##-AA-#AAAA#,V04,1,6,ACCEPTED,
##-AA-##A,V04,1,4,REJECTED,##-AA-###
##.##-AA-##AA##A,V04,1,8,ACCEPTED,
-##A####-AA#AA-#,V04,1,8,ACCEPTED,
A#-AA-A#AA#,V04,1,3,REJECTED,AA-AA-###AA
AA-A#A#-##,V04,1,4,ACCEPTED,
##.##-AA-##AA,V04,1,6,ACCEPTED,
##.##-AA-##AAAA#,V04,1,7,REJECTED,##.##-AA-##AA##A
####-AA#AA-#,V04,1,6,ACCEPTED,
##.##-AA-##AA###-AA,V04,1,9,ACCEPTED,
##.##-AA-#AAA,V04,1,5,REJECTED,##.##-AA-##AA
A####-AA#AA-#,V04,1,6,ACCEPTED,
##.##-AA-#AAAAA#-AA,V04,1,6,REJECTED,##.##-AA-##AA###-AA
A##.##-AAAA,V04,1,4,ACCEPTED,
##-AA-A##,V04,1,4,REJECTED,##-AA-##A
##-AA-#A##,V04,1,5,REJECTED,##-AA-####
#.##-AA-##A####-AAAA,V04,1,9,ACCEPTED,
AA-AA-##AA###-AAAAA-,V04,1,5,ACCEPTED,
A#-AAAAAAA##,V04,1,3,ACCEPTED,
A-AA-##AAA##-AAAAA-A,V04,1,4,ACCEPTED,
##.##-AA-##AA###-,V04,1,9,ACCEPTED,
A#AAA,V04,1,1,REJECTED,##A#A
#A####-AAAAA-#,V04,1,6,ACCEPTED,
##.##-AA-##A####-A,V04,1,10,ACCEPTED,
##.##-AA-##AAA#A,V04,1,7,REJECTED,##.##-AA-##AAAA#
##-AAA-####,V04,1,6,ACCEPTED,
##.A#-AAAAAAA,V04,1,3,REJECTED,A#.##-AAAAAAA
A#-AA-A##A-##,V04,1,5,REJECTED,A#-AA-A###-##
##-AA-A#AA-##,V04,1,5,REJECTED,A#-AA-A##A-##
#-AA-A#AA-##,V04,1,4,ACCEPTED,
AA-AA-A#AA-##,V04,1,3,REJECTED,AA-AA-A###-##
##-AA-AAAA,V04,1,2,REJECTED,##-AA-#A##
##-AAAAAAA,V04,1,2,ACCEPTED,
AA##AA,V04,1,2,REJECTED,#A####
##.,V04,1,2,ACCEPTED,
##.##-AA-AAAAA,V04,1,4,ACCEPTED,
#.##-AAAAAAA##.##-A,V04,1,7,ACCEPTED,
#AAAA#,V04,1,2,REJECTED,AA##AA
A-AA-A#AA-##,V04,1,3,REJECTED,#-AA-A#AA-##
AA-AA-A###-##,V04,1,5,REJECTED,##-AA-A#AA-##
